property,target,level,candidate,calibration,mae_mean,mae_std,rmse_mean,r2_mean,cal_mae_mean,n_seeds,best_literature_mae,relative_gain_vs_best_literature_pct
B5,sterimol_B5,L4_32,sum_pc_Bmax_all,huber,0.02865793791821582,0.0023341811492341414,0.0485731736775295,0.9989376318610168,0.02900973507882988,5,0.191,84.99584402187654
BurB5-huber,sterimol_burB5,L4_32,sum_pc_R4.4_touch_Bmax,huber,0.09378566896911786,0.009670875490054241,0.17611050932211952,0.9416678555047906,0.09293055884687622,5,0.146,35.763240432111054
BurB5-isotonic,sterimol_burB5,L4_32,sum_pc_R4.4_touch_Bmax,isotonic,0.0940414125640025,0.0090288561023675,0.17076020165910683,0.945510342700338,0.09215420599146285,5,0.146,35.58807358629965
BurL,sterimol_burL,L4_32,sum_pc_R2.7_touch_Lpos,isotonic,0.056692268793812284,0.004777473528555853,0.09936661098560831,0.9265173503216836,0.0547656134716036,5,0.0947,40.134879837579426
L,sterimol_L,L4_32,sum_pc_Lpos_all,huber,0.053017631136166664,0.002561213076327734,0.08753633379764851,0.9959445525401861,0.051754283768595054,5,0.305,82.61717011928963
