target,target_short,stage,seed,candidate,calibration,weight_mode,mae,rmse,r2,uses_test_labels_for_prediction,diagnostic_uses_conformer_labels
sterimol_L,L,oracle_conformer_labels_boltzmann_all_confs,3,sterimol_L_true_conf,none,boltzmann,0.00048811524991774683,0.003955718790048668,0.9999909597956268,False,True
sterimol_L,L,raw_formula_boltzmann,3,sum_pc_Lpos_all,raw,boltzmann,2.5784035998221286,2.5799759475533723,-2.8455524803774277,False,False
sterimol_L,L,calibrated_formula_boltzmann,3,sum_pc_Lpos_all,huber,boltzmann,0.05684547491671669,0.08917923727615566,0.9954053235389343,False,False
sterimol_L,L,raw_formula_uniform,3,sum_pc_Lpos_all,raw,uniform,2.4610954146510258,2.500825173206799,-2.613217398560149,False,False
sterimol_L,L,calibrated_formula_uniform,3,sum_pc_Lpos_all,huber,uniform,0.2951439457617252,0.45612387242496477,0.8798031645308187,False,False
sterimol_L,L,oracle_conformer_labels_boltzmann_all_confs,4,sterimol_L_true_conf,none,boltzmann,0.0002789082307590287,0.002062206059360572,0.9999974560367674,False,True
sterimol_L,L,raw_formula_boltzmann,4,sum_pc_Lpos_all,raw,boltzmann,2.5820019083363888,2.583594351591833,-2.992963734700563,False,False
sterimol_L,L,calibrated_formula_boltzmann,4,sum_pc_Lpos_all,huber,boltzmann,0.05389896273989558,0.09045001937948981,0.9951059991377944,False,False
sterimol_L,L,raw_formula_uniform,4,sum_pc_Lpos_all,raw,uniform,2.4659155257771883,2.5121150724084327,-2.7750766278243937,False,False
sterimol_L,L,calibrated_formula_uniform,4,sum_pc_Lpos_all,huber,uniform,0.3220990703934711,0.48325874538572544,0.8602968633322354,False,False
sterimol_burB5,BurB5,oracle_conformer_labels_boltzmann_all_confs,0,sterimol_burB5_true_conf,none,boltzmann,0.00017486699823244048,0.001222700996254475,0.9999974093438196,False,True
sterimol_burB5,BurB5,raw_formula_boltzmann,0,sum_pc_R4.4_touch_Bmax,raw,boltzmann,0.10700841672888495,0.17711079371435484,0.945642521116153,False,False
sterimol_burB5,BurB5,calibrated_formula_boltzmann,0,sum_pc_R4.4_touch_Bmax,huber,boltzmann,0.0835466796809178,0.16216623545666153,0.9544288364594427,False,False
sterimol_burB5,BurB5,raw_formula_uniform,0,sum_pc_R4.4_touch_Bmax,raw,uniform,0.15788589330520506,0.24071910310561123,0.8995869033919864,False,False
sterimol_burB5,BurB5,calibrated_formula_uniform,0,sum_pc_R4.4_touch_Bmax,huber,uniform,0.14266101125581274,0.231680821244645,0.9069857657359212,False,False
sterimol_burB5,BurB5,oracle_conformer_labels_boltzmann_all_confs,1,sterimol_burB5_true_conf,none,boltzmann,0.00022630936696325054,0.0016482292656741584,0.9999953394707632,False,True
sterimol_burB5,BurB5,raw_formula_boltzmann,1,sum_pc_R4.4_touch_Bmax,raw,boltzmann,0.13234549841241697,0.21641240846657311,0.9196539906068631,False,False
sterimol_burB5,BurB5,calibrated_formula_boltzmann,1,sum_pc_R4.4_touch_Bmax,huber,boltzmann,0.10948511570002033,0.20143487680643019,0.9303903694041057,False,False
sterimol_burB5,BurB5,raw_formula_uniform,1,sum_pc_R4.4_touch_Bmax,raw,uniform,0.18528492234345226,0.2855373258787538,0.8601296149758031,False,False
sterimol_burB5,BurB5,calibrated_formula_uniform,1,sum_pc_R4.4_touch_Bmax,huber,uniform,0.17209153909367575,0.27778437974567577,0.8676220545071638,False,False
sterimol_burB5,BurB5,oracle_conformer_labels_boltzmann_all_confs,2,sterimol_burB5_true_conf,none,boltzmann,5.1860712672968906e-05,0.00034821676960647007,0.9999998023716249,False,True
sterimol_burB5,BurB5,raw_formula_boltzmann,2,sum_pc_R4.4_touch_Bmax,raw,boltzmann,0.1124977576392389,0.17271778190338863,0.9513789829172653,False,False
sterimol_burB5,BurB5,calibrated_formula_boltzmann,2,sum_pc_R4.4_touch_Bmax,huber,boltzmann,0.09102711793125765,0.15995867176283549,0.958297171321624,False,False
sterimol_burB5,BurB5,raw_formula_uniform,2,sum_pc_R4.4_touch_Bmax,raw,uniform,0.16004846517662794,0.25213562841703047,0.8963860160205394,False,False
sterimol_burB5,BurB5,calibrated_formula_uniform,2,sum_pc_R4.4_touch_Bmax,huber,uniform,0.14733911646835335,0.24572940281154199,0.9015843453273715,False,False
sterimol_burB5,BurB5,oracle_conformer_labels_boltzmann_all_confs,3,sterimol_burB5_true_conf,none,boltzmann,0.00021427890275263137,0.0014048079631269047,0.9999964244108783,False,True
