target,target_short,radius,candidate,status,mae_mean,mae_std,rmse_mean,r2_mean,n_seeds
sterimol_burB5,BurB5,3.8,sum_pc_R3.8_touch_Bmax,evaluated,0.1392984277868087,0.014829653092718888,0.23463342702443285,0.8989279041423597,5
sterimol_burB5,BurB5,4.0,sum_pc_R4_touch_Bmax,evaluated,0.11086801128914651,0.012759744597109166,0.20207310347248603,0.9246382055084365,5
sterimol_burB5,BurB5,4.2,sum_pc_R4.2_touch_Bmax,evaluated,0.09838439171486071,0.008412802993491559,0.18215069300123582,0.9379199043096668,5
sterimol_burB5,BurB5,4.4,sum_pc_R4.4_touch_Bmax,evaluated,0.0937856689691179,0.009670875490054248,0.17611050932211952,0.9416678555047906,5
sterimol_burB5,BurB5,4.6,sum_pc_R4.6_touch_Bmax,evaluated,0.2648625762077267,0.007960530444358307,0.3708039714851364,0.7433369082543484,5
sterimol_burB5,BurB5,4.8,sum_pc_R4.8_touch_Bmax,evaluated,0.28201996820058095,0.00968046672989212,0.3847550839814711,0.7226446224773435,5
sterimol_burB5,BurB5,5.0,sum_pc_R5_touch_Bmax,evaluated,0.2771522549472599,0.009267357059575284,0.36807238188994296,0.7463822619962399,5
sterimol_burL,BurL,2.5,sum_pc_R2.5_touch_Lpos,evaluated,0.0985477196539523,0.005452275449830943,0.14737766226452212,0.8413968080932108,5
sterimol_burL,BurL,2.6,sum_pc_R2.6_touch_Lpos,evaluated,0.07129023191360775,0.006757353531885295,0.1159622160517979,0.8997457382879726,5
sterimol_burL,BurL,2.7,sum_pc_R2.7_touch_Lpos,evaluated,0.056692268793812305,0.004777473528555858,0.09936661098560834,0.9265173503216836,5
sterimol_burL,BurL,2.8,sum_pc_R2.8_touch_Lpos,evaluated,0.06541552953688672,0.004590799727892149,0.11163308356507975,0.9076951206039181,5
sterimol_burL,BurL,2.9,sum_pc_R2.9_touch_Lpos,evaluated,0.07468508764401702,0.004619898951328877,0.12349603687095467,0.8872085253824251,5
sterimol_burL,BurL,3.0,sum_pc_R3_touch_Lpos,evaluated,0.08390892428230066,0.0031724752570950077,0.13644230818266706,0.8631287212556128,5
sterimol_burL,BurL,3.1,sum_pc_R3.1_touch_Lpos,evaluated,0.08958373970805367,0.004296226485372717,0.14589337022719995,0.8436817007512094,5
sterimol_burL,BurL,3.2,sum_pc_R3.2_touch_Lpos,evaluated,0.09201858523208814,0.0027499760286302,0.1471183567403423,0.8415067235232432,5
