target,axis,candidate,calibration,mae_mean,mae_std,rmse_mean,r2_mean,n_seeds
sterimol_B5,sum_pc,sum_pc_Bmax_all,huber,0.028657937918215814,0.0023341811492341414,0.0485731736775295,0.9989376318610166,5
sterimol_B5,pc0,pc0_Bmax_all,huber,0.6096622953227169,0.05823128957326147,0.9310326555106331,0.6253663658982594,5
sterimol_B5,pc1,pc1_Bmax_all,huber,0.45974593846724776,0.03582642681223284,0.7302194128394683,0.7666567565791336,5
sterimol_B5,pc2,pc2_Bmax_all,huber,0.41744896474127324,0.04187491876438967,0.6664488421614995,0.8070211271699954,5
sterimol_B5,pca0,pca0_Bmax_all,huber,0.7864385090692896,0.04262616970946797,1.086153605756901,0.48859007795734766,5
sterimol_B5,pca1,pca1_Bmax_all,huber,0.39835337573347596,0.05458415293566364,0.6480875122249437,0.8174801998653471,5
sterimol_B5,pca2,pca2_Bmax_all,huber,0.3427061839650314,0.047646696699775275,0.5912865089577142,0.8481862571611216,5
sterimol_B5,lone_pair,lone_pair_Bmax_all,huber,0.028657937918215814,0.0023341811492341414,0.0485731736775295,0.9989376318610166,5
sterimol_B5,global_x,global_x_Bmax_all,huber,0.7756716485229782,0.05128702908856495,1.0745227352107294,0.5018811052445484,5
sterimol_L,sum_pc,sum_pc_Lpos_all,huber,0.053017631136166664,0.002561213076327734,0.08753633379764851,0.9959445525401861,5
sterimol_L,pc0,pc0_Lpos_all,huber,0.8228433266671378,0.04869979835652307,1.2518724994762995,0.19011341996072204,5
sterimol_L,pc1,pc1_Lpos_all,huber,0.8498340644968175,0.058211894123058015,1.278495814635602,0.15639733470755512,5
sterimol_L,pc2,pc2_Lpos_all,huber,0.7868426207348638,0.0611936922756627,1.1963760928981215,0.1478433681822306,5
sterimol_L,pca0,pca0_Lpos_all,huber,0.8343388703242759,0.06619650289555043,1.2573170319848024,0.1801122551283689,5
sterimol_L,pca1,pca1_Lpos_all,huber,0.8378475495454474,0.07031792558355207,1.2375770875005896,0.21036642143185302,5
sterimol_L,pca2,pca2_Lpos_all,huber,0.8398097755289893,0.04915867511150154,1.2624666638959838,0.17645169050068943,5
sterimol_L,lone_pair,lone_pair_Lpos_all,huber,0.9314206007477948,0.07313804586007912,1.4018260922231456,-0.013815925754061143,5
sterimol_L,global_x,global_x_Lpos_all,huber,0.7918489542555764,0.05921205287296659,1.2238117367940582,0.2273592912405949,5
