property,target,split_mode,weight_mode,level,candidate,calibration,best_literature_mae,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,cal_mae_mean,cal_mae_std,relative_gain_vs_best_literature_pct
B5,sterimol_B5,scaffold,boltzmann,L4_32,sum_pc_Bmax_all,huber,0.191,0.026653025521017847,0.0014434561682477626,0.047060303000733744,0.0035210281193750097,0.9991479101446302,9.215673247778848e-05,0.02861261383204865,0.0018221299046493082,86.04553637643045
BurB5,sterimol_burB5,scaffold,boltzmann,L4_32,sum_pc_R4.4_touch_Bmax,huber,0.146,0.11465494261792511,0.005404643568847664,0.22323206951150754,0.011171457548464537,0.9460433989015284,0.005694204459613269,0.10431135715074387,0.009229435722553175,21.469217384982798
BurL,sterimol_burL,scaffold,boltzmann,L4_32,sum_pc_R2.7_touch_Lpos,isotonic,0.0947,0.07472529180546897,0.003827934392229163,0.1210831832451632,0.005466579787530993,0.9414418800793831,0.004919876788680827,0.07177332678356016,0.0076855074554708774,21.092616889684304
L,sterimol_L,scaffold,boltzmann,L4_32,sum_pc_Lpos_all,huber,0.305,0.05502662476184755,0.0030407297268194916,0.08847828880433949,0.004839621011685594,0.9960812546058703,0.0004185375152750574,0.05681759124312254,0.004869914912770482,81.95848368464014
