dataset,target,seed,split_mode,method,level,avg_cost_seconds,candidate,calibration,cal_mae,cal_rmse,cal_r2,mae,rmse,r2,n_train,n_cal,n_test,property,best_literature_mae
kraken_sterimol_burB5,sterimol_burB5,4,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.4_touch_Bmax,huber,0.1114972975188522,0.1876226400557101,0.95889165791744,0.1065531110435303,0.2115453604937655,0.9528431754996342,1086,155,311,BurB5-R4.4-huber,0.146
kraken_sterimol_burB5,sterimol_burB5,0,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.4_touch_Bmax,isotonic,0.1184993982922947,0.1973061108406939,0.956227809479179,0.1287531572638517,0.2336228503470565,0.9428111336052236,1086,155,311,BurB5-R4.4-isotonic,0.146
kraken_sterimol_burB5,sterimol_burB5,1,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.4_touch_Bmax,isotonic,0.1041269979298968,0.1902660637187186,0.9534242251781916,0.120973039407808,0.219131449239528,0.9525738229633508,1086,155,311,BurB5-R4.4-isotonic,0.146
kraken_sterimol_burB5,sterimol_burB5,2,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.4_touch_Bmax,isotonic,0.101966296404889,0.1967915914379912,0.9677111087524598,0.1227311748837251,0.2100816769099997,0.9448175910929189,1086,155,311,BurB5-R4.4-isotonic,0.146
kraken_sterimol_burB5,sterimol_burB5,3,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.4_touch_Bmax,isotonic,0.1203366248453596,0.2058056298866663,0.9617053309677868,0.1160251318891412,0.2123414654674533,0.9513937258133304,1086,155,311,BurB5-R4.4-isotonic,0.146
kraken_sterimol_burB5,sterimol_burB5,4,scaffold,axis_formula,L4_32,32.0,sum_pc_R4.4_touch_Bmax,isotonic,0.126346938842382,0.1935566950985489,0.9562502200768151,0.1123715036338399,0.2084504621932125,0.9542128863487884,1086,155,311,BurB5-R4.4-isotonic,0.146
kraken_sterimol_burL,sterimol_burL,0,scaffold,axis_formula,L4_32,32.0,sum_pc_R2.7_touch_Lpos,huber,0.0595296012895911,0.108191188625161,0.9452678399404368,0.0660365236119731,0.1314206055863172,0.9352608463026526,1086,155,311,BurL-huber,0.0947
kraken_sterimol_burL,sterimol_burL,1,scaffold,axis_formula,L4_32,32.0,sum_pc_R2.7_touch_Lpos,huber,0.0640250637648715,0.1476425127197638,0.918605578195888,0.0610740723776945,0.105365799109657,0.9536715592197932,1086,155,311,BurL-huber,0.0947
kraken_sterimol_burL,sterimol_burL,2,scaffold,axis_formula,L4_32,32.0,sum_pc_R2.7_touch_Lpos,huber,0.0638904821311676,0.1295923575027278,0.947160426035634,0.0663264383655658,0.1145073425985055,0.942182425387718,1086,155,311,BurL-huber,0.0947
kraken_sterimol_burL,sterimol_burL,3,scaffold,axis_formula,L4_32,32.0,sum_pc_R2.7_touch_Lpos,huber,0.073071474087427,0.1680966876733111,0.898296746729171,0.0600908141745587,0.0946102734096182,0.9645693649228356,1086,155,311,BurL-huber,0.0947
kraken_sterimol_burL,sterimol_burL,4,scaffold,axis_formula,L4_32,32.0,sum_pc_R2.7_touch_Lpos,huber,0.0622640805937647,0.1054384022963083,0.9508930575766312,0.0686339284291628,0.1533749089762713,0.912949906437328,1086,155,311,BurL-huber,0.0947
kraken_sterimol_burL,sterimol_burL,0,scaffold,axis_formula,L4_32,32.0,sum_pc_R2.7_touch_Lpos,isotonic,0.0605903808547034,0.0989254047900874,0.9542412158741848,0.0755682675327271,0.1185874350779814,0.9472870354657504,1086,155,311,BurL-isotonic,0.0947
kraken_sterimol_burL,sterimol_burL,1,scaffold,axis_formula,L4_32,32.0,sum_pc_R2.7_touch_Lpos,isotonic,0.073768502615168,0.1146944499376224,0.9508801996840982,0.0701595715799199,0.1147421571317606,0.9450592765322564,1086,155,311,BurL-isotonic,0.0947
kraken_sterimol_burL,sterimol_burL,2,scaffold,axis_formula,L4_32,32.0,sum_pc_R2.7_touch_Lpos,isotonic,0.0764391560590881,0.1297275912670185,0.9470500889292072,0.0739033306300381,0.1210310698369397,0.935406778953568,1086,155,311,BurL-isotonic,0.0947
kraken_sterimol_burL,sterimol_burL,3,scaffold,axis_formula,L4_32,32.0,sum_pc_R2.7_touch_Lpos,isotonic,0.0801676142382265,0.1308528943836445,0.9383712725101472,0.0806068774268572,0.1214295952918933,0.941635141492402,1086,155,311,BurL-isotonic,0.0947
kraken_sterimol_burL,sterimol_burL,4,scaffold,axis_formula,L4_32,32.0,sum_pc_R2.7_touch_Lpos,isotonic,0.0679009801506145,0.1050783492217726,0.95122786759513,0.0733884118578023,0.1296256588872408,0.937821167952938,1086,155,311,BurL-isotonic,0.0947
kraken_sterimol_L,sterimol_L,0,scaffold,axis_formula,L4_32,32.0,sum_pc_Lpos_all,huber,0.053024041651616,0.0764100757054032,0.9969903862385784,0.0531800732379266,0.0830977877157067,0.9965712448294032,1086,155,311,L-huber,0.305
kraken_sterimol_L,sterimol_L,1,scaffold,axis_formula,L4_32,32.0,sum_pc_Lpos_all,huber,0.0517050965312747,0.0788179087792454,0.9961961581569072,0.0563611333419506,0.0922250044346739,0.995979443147446,1086,155,311,L-huber,0.305
kraken_sterimol_L,sterimol_L,2,scaffold,axis_formula,L4_32,32.0,sum_pc_Lpos_all,huber,0.0567266358357089,0.101032299998885,0.9948657041677844,0.0590141626093683,0.0911620788092767,0.9954387719553708,1086,155,311,L-huber,0.305
kraken_sterimol_L,sterimol_L,3,scaffold,axis_formula,L4_32,32.0,sum_pc_Lpos_all,huber,0.0586841346432539,0.0990908236228847,0.9946186192448412,0.0555085048583864,0.0925871872961983,0.9962590001513774,1086,155,311,L-huber,0.305
kraken_sterimol_L,sterimol_L,4,scaffold,axis_formula,L4_32,32.0,sum_pc_Lpos_all,huber,0.0639480475537589,0.1051183021040812,0.994997937581474,0.0510692497616055,0.0833193857658416,0.996157812945754,1086,155,311,L-huber,0.305
kraken_sterimol_L,sterimol_L,0,scaffold,axis_formula,L4_32,32.0,sum_pc_Lpos_all,ridge_quadratic,0.0531040982012635,0.0746586803195285,0.9971267717882304,0.0526800262187686,0.0805144459020267,0.9967811171665576,1086,155,311,L-ridge2,0.305
kraken_sterimol_L,sterimol_L,1,scaffold,axis_formula,L4_32,32.0,sum_pc_Lpos_all,ridge_quadratic,0.0515014953530079,0.077285176237627,0.996342662500112,0.0548974603094839,0.0893382219608252,0.9962272029176876,1086,155,311,L-ridge2,0.305
kraken_sterimol_L,sterimol_L,2,scaffold,axis_formula,L4_32,32.0,sum_pc_Lpos_all,ridge_quadratic,0.0565778047600689,0.0986525718232296,0.995104723443176,0.05764848900166,0.0888516621229388,0.9956670422059468,1086,155,311,L-ridge2,0.305
kraken_sterimol_L,sterimol_L,3,scaffold,axis_formula,L4_32,32.0,sum_pc_Lpos_all,ridge_quadratic,0.0567135162534295,0.0957120707910145,0.994979346263974,0.0554528056128373,0.0908378018762013,0.996399032996798,1086,155,311,L-ridge2,0.305
kraken_sterimol_L,sterimol_L,4,scaffold,axis_formula,L4_32,32.0,sum_pc_Lpos_all,ridge_quadratic,0.0633412926665379,0.1033626639578905,0.9951636266480332,0.0500241234718668,0.0806843035892007,0.9963969980703034,1086,155,311,L-ridge2,0.305
