property,target,split_mode_boltzmann,weight_mode_boltzmann,level,candidate,calibration,best_literature_mae,mae_mean_boltzmann,mae_std_boltzmann,rmse_mean_boltzmann,rmse_std_boltzmann,r2_mean_boltzmann,r2_std_boltzmann,cal_mae_mean_boltzmann,cal_mae_std_boltzmann,split_mode_uniform,weight_mode_uniform,mae_mean_uniform,mae_std_uniform,rmse_mean_uniform,rmse_std_uniform,r2_mean_uniform,r2_std_uniform,cal_mae_mean_uniform,cal_mae_std_uniform,missing_weight_mae_delta
B5,sterimol_B5,random,boltzmann,L4_32,sum_pc_Bmax_all,huber,0.191,0.02865793791821587,0.0023341811492341544,0.04857317367752954,0.003570973726254552,0.9989376318610168,0.0003445858970507272,0.029009735078829917,0.004133164191195621,random,uniform,0.1710419783926569,0.014161086840117569,0.3169521287782204,0.07617682885393887,0.956621209475545,0.013422265671097203,0.15281428696397875,0.026801985121748705,0.14238404047444103
BurB5,sterimol_burB5,random,boltzmann,L4_32,sum_pc_R4.4_touch_Bmax,huber,0.146,0.09378566896911789,0.009670875490054248,0.17611050932211955,0.016733242121879197,0.9416678555047906,0.0146698162795752,0.09293055884687626,0.006228894415829043,random,uniform,0.15671584146537348,0.011772958590954351,0.25119344733363314,0.01820099086105386,0.8825394732199527,0.0208842055105247,0.1587841448084426,0.011804443625935527,0.0629301724962556
BurL,sterimol_burL,random,boltzmann,L4_32,sum_pc_R2.7_touch_Lpos,isotonic,0.0947,0.05669226879381232,0.004777473528555858,0.09936661098560833,0.011792193050306238,0.9265173503216836,0.0220500144782803,0.05476561347160366,0.005562492014329795,random,uniform,0.1547014076074237,0.0100616977292851,0.21936602452662388,0.017256445155311172,0.6454981177073981,0.07789141085359204,0.14661049761030218,0.009632399556838993,0.0980091388136114
L,sterimol_L,random,boltzmann,L4_32,sum_pc_Lpos_all,huber,0.305,0.05301763113616673,0.0025612130763277424,0.08753633379764855,0.0035123247537786565,0.9959445525401861,0.0009030181386661524,0.0517542837685951,0.006120888563771612,random,uniform,0.32986353739206864,0.026167025351334753,0.5275094560734674,0.06340616419309084,0.8566071437853828,0.015636999260963104,0.3219762523502335,0.03928856450439258,0.2768459062559019
