property,target,split_mode,weight_mode,level,candidate,calibration,best_literature_mae,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,cal_mae_mean,cal_mae_std
B5,sterimol_B5,random,uniform,L4_32,sum_pc_Bmax_all,huber,0.191,0.1710419783926569,0.014161086840117569,0.3169521287782204,0.07617682885393887,0.956621209475545,0.013422265671097203,0.15281428696397875,0.026801985121748705
BurB5,sterimol_burB5,random,uniform,L4_32,sum_pc_R4.4_touch_Bmax,huber,0.146,0.15671584146537348,0.011772958590954351,0.25119344733363314,0.01820099086105386,0.8825394732199527,0.0208842055105247,0.1587841448084426,0.011804443625935527
BurL,sterimol_burL,random,uniform,L4_32,sum_pc_R2.7_touch_Lpos,isotonic,0.0947,0.1547014076074237,0.0100616977292851,0.21936602452662388,0.017256445155311172,0.6454981177073981,0.07789141085359204,0.14661049761030218,0.009632399556838993
L,sterimol_L,random,uniform,L4_32,sum_pc_Lpos_all,huber,0.305,0.32986353739206864,0.026167025351334753,0.5275094560734674,0.06340616419309084,0.8566071437853828,0.015636999260963104,0.3219762523502335,0.03928856450439258
