target_short,domain,mean_test_molecules_per_seed,mae_mean,mae_std,median_abs_error,median_dissimilarity
B5,ID,297.6,0.02808163293291454,0.0025615645414107553,0.011275752766289799,0.39365800865800865
B5,OOD,13.4,0.03974046647007467,0.012727753633131519,0.01400003342164608,0.7136157675902901
BurB5,ID,297.6,0.09059479773353099,0.010290664834264102,0.03787115188314353,0.39365800865800865
BurB5,OOD,13.4,0.15633982042681105,0.05719374709774915,0.06870569951589044,0.7136157675902901
BurL,ID,297.6,0.05584416057863186,0.0038388024493870546,0.026771569683650808,0.39365800865800865
BurL,OOD,13.4,0.08028067396039865,0.03262844011932035,0.03446628287196753,0.7136157675902901
L,ID,297.6,0.05120853581878698,0.0023968312271112446,0.026640557551494432,0.39365800865800865
L,OOD,13.4,0.09654220824237711,0.021066230515679758,0.061089439252347465,0.7136157675902901
